task,variant,signal,quota,eta,eta_lo,eta_hi,reduction_frac
plannerC_path_dev,oracle,TIP_gain [scene-z],0.1,0.7514946566703461,0.7022363849188319,0.8044023847620422,0.09353448090484591
plannerC_path_dev,oracle,TIP_gain [scene-z],0.2,0.7793812395020646,0.7219214823356171,0.8331099611060786,0.11247434882523483
plannerC_path_dev,oracle,TIP_gain [scene-z],0.3,0.8017704625879948,0.7467012202798292,0.8510474751990411,0.11815210012572296
plannerC_path_dev,oracle,TIP_gain [scene-z],0.5,0.8432695006714827,0.7883475501660836,0.8901930064746122,0.12426756425361644
plannerC_ade_truth,oracle,random,0.1,0.017813876680569992,-0.056114365893656454,0.09810700641844809,0.0007323729766526571
plannerC_ade_truth,oracle,random,0.2,0.03624088159300535,-0.07055631655295669,0.13049257311169984,0.0016687972282285713
plannerC_ade_truth,oracle,random,0.3,0.06812066874116941,-0.079854185634448,0.17393702538554706,0.0031547446120040934
plannerC_ade_truth,oracle,random,0.5,0.10056267832117624,-0.0989263842627534,0.24164798880591853,0.004657170480927746
plannerC_ade_truth,oracle,uncertainty,0.1,0.04510625620660266,-0.05886688322674501,0.16947442392329676,0.0018544308864402654
plannerC_ade_truth,oracle,uncertainty,0.2,0.053410790341739324,-0.08561319395034712,0.17990852222518602,0.002459426342900962
plannerC_ade_truth,oracle,uncertainty,0.3,0.02100923697867639,-0.1481226370748093,0.15800358583161467,0.000972961340303758
plannerC_ade_truth,oracle,uncertainty,0.5,0.003787921703408612,-0.20688542889437647,0.16950648411825384,0.00017542290475635962
plannerC_ade_truth,oracle,criticality,0.1,0.010394456772053758,-0.13987795621552687,0.16168591656282916,0.00042734208748282403
plannerC_ade_truth,oracle,criticality,0.2,0.05594064815072403,-0.12137266598271235,0.19728836588287418,0.0025759196375966663
plannerC_ade_truth,oracle,criticality,0.3,0.10733218660101654,-0.1276570042986117,0.2597694552132167,0.004970674005869458
plannerC_ade_truth,oracle,criticality,0.5,0.09822397548958559,-0.15575836614408267,0.3163279043184738,0.00454886252838734
plannerC_ade_truth,oracle,perception_oracle_dE,0.1,0.1671395980164145,0.021166981180520364,0.2965799583468202,0.00687152645719861
plannerC_ade_truth,oracle,perception_oracle_dE,0.2,0.22157029839632236,0.04597692999456117,0.3534043231645426,0.010202729171271727
plannerC_ade_truth,oracle,perception_oracle_dE,0.3,0.18084164286402235,-0.00867309378227097,0.34240143427087305,0.008374979415116194
plannerC_ade_truth,oracle,perception_oracle_dE,0.5,0.11221333454844747,-0.14610730408069084,0.30369209391089597,0.005196725444766242
plannerC_ade_truth,oracle,best_dE_metric (E1_fn_only),0.1,0.1671395980164145,0.021166981180520364,0.2965799583468202,0.00687152645719861
plannerC_ade_truth,oracle,best_dE_metric (E1_fn_only),0.2,0.22157029839632236,0.04597692999456117,0.3534043231645426,0.010202729171271727
plannerC_ade_truth,oracle,best_dE_metric (E1_fn_only),0.3,0.18084164286402235,-0.00867309378227097,0.34240143427087305,0.008374979415116194
plannerC_ade_truth,oracle,best_dE_metric (E1_fn_only),0.5,0.11221333454844747,-0.14610730408069084,0.30369209391089597,0.005196725444766242
plannerC_ade_truth,oracle,multimetric_dE_oracle,0.1,0.03176926612457204,-0.09337402735618414,0.1183655614862623,0.0013061139029384352
plannerC_ade_truth,oracle,multimetric_dE_oracle,0.2,-0.030553085709186155,-0.18169983802064454,0.08824573637519585,-0.0014068891954096539
