planner,loss,split,variant,logs,states_failed,states,affected,v_pos,v_neg,harm_rate,rho,all_full_reduction,oracle20_reduction,selective_extra_share,all_cheap_cost,all_full_cost,harm_rate_lo,harm_rate_hi,harm_rate_finite_draws,rho_lo,rho_hi,rho_finite_draws,all_full_reduction_lo,all_full_reduction_hi,all_full_reduction_finite_draws,oracle20_reduction_lo,oracle20_reduction_hi,oracle20_reduction_finite_draws
pdm_closed,collision,all,iou50,34,0,1440,26,19,7,0.2692307692307692,0.3684210526315789,0.11428571428571428,0.18095238095238095,0.3684210526315789,105.0,93.0,0.1665,0.5,1000,0.19952380952380955,1.0,999,0.0,0.2884868421052631,1000,0.03124394379844961,0.4286780383795308,1000
pdm_closed,clearance_shortfall,all,iou50,34,0,1440,51,27,24,0.47058823529411764,0.41260406905267655,0.04816233846783306,0.08199297259373116,0.4126040690526769,263.09401745332735,250.42279433587822,0.3444398907103825,0.7,1000,0.2749364742415341,1.009385768346675,1000,-0.0002031867279294918,0.1253704125907691,1000,0.014521126253826502,0.1995329106662543,1000
pdm_closed,log_deviation,all,iou50,34,0,1440,113,66,47,0.415929203539823,0.6303508154057532,0.0158657351383909,0.04292106083178929,0.630350815405755,3487.1540454041783,3431.8277829330273,0.33675438596491225,0.5122107567229518,1000,0.3853744768431187,0.8861840000391258,1000,0.0024153844403090696,0.03481470716732329,1000,0.010209888101219545,0.09531742002760817,1000
pdm_closed,safety,all,iou50,34,0,1440,51,27,24,0.47058823529411764,0.37485062183525736,0.09622240553678867,0.1539190614237989,0.3748506218352577,1444.641026179991,1305.6341915038174,0.3444398907103825,0.7,1000,0.2061837324757178,1.01273936544737,1000,-0.00042135261955958164,0.23782016602730646,1000,0.026517101744298773,0.3455240657853849,1000
pdm_closed,scalar_J,all,iou50,34,0,1440,113,65,48,0.4247787610619469,0.3906924793899528,0.08059717435268896,0.13227667741897225,0.39069247938995316,1793.356430720409,1648.8169697971202,0.33822768762677485,0.5285924369747899,1000,0.22930903675036024,1.0041384952672792,1000,-0.00013145542015889126,0.1876475523843609,1000,0.024275368637062165,0.28884444523691577,1000
pdm_closed,collision,test,iou50,9,0,384,19,14,5,0.2631578947368421,0.35714285714285715,0.2727272727272727,0.42424242424242425,0.3571428571428572,33.0,24.0,0.0,0.5,1000,0.3076923076923077,1.0,906,0.0,0.46203580901856767,996,0.0,0.6673850574712643,996
pdm_closed,clearance_shortfall,test,iou50,9,0,384,28,18,10,0.35714285714285715,0.38605363778193014,0.17128318373041498,0.27898721170299295,0.38605363778193036,57.71399478575654,47.82855801305159,0.25,0.75,1000,0.009753000124249412,1.0060692593818479,981,-0.0003578497428242779,0.3565555559273818,1000,0.008667907777348032,0.5528599213658238,1000
pdm_closed,log_deviation,test,iou50,9,0,384,52,30,22,0.4230769230769231,0.636224024445125,0.04615913073873442,0.12688889272670362,0.6362240244451255,735.8140407160676,701.8495042112581,0.37755102040816324,0.5,1000,0.38898457123129326,0.6731241132010779,995,0.004057282293426412,0.0931334840135686,1000,0.0074949287752222515,0.2819116396877922,1000
pdm_closed,safety,test,iou50,9,0,384,28,18,10,0.35714285714285715,0.361396585995125,0.2516453548789224,0.394055761933339,0.36139658599512536,416.57099217863475,311.7428370195774,0.25,0.75,1000,0.009753000124249412,1.0007916425280672,981,-0.00010002794637960029,0.43693561049154733,1000,0.005238779555798654,0.6369007908051926,1000
pdm_closed,scalar_J,test,iou50,9,0,384,52,30,22,0.4230769230769231,0.3761869944775655,0.22079787763454203,0.3539488206880633,0.3761869944775655,490.1523962502415,381.9277874407031,0.37755102040816324,0.5,1000,0.26832612463151806,0.9828911852730113,995,0.0009149990110980883,0.3954238484612557,1000,0.010440336209132678,0.5918357700986375,1000
idm,collision,all,transported,34,0,1440,28,23,5,0.17857142857142858,0.21739130434782608,0.1836734693877551,0.23469387755102042,0.21739130434782608,98.0,80.0,0.04875145180023229,0.35294117647058826,1000,0.05125,0.5454545454545454,1000,0.07056982872200264,0.31632975975200206,1000,0.13281077157079646,0.383989448051948,1000
idm,clearance_shortfall,all,transported,34,0,1440,47,34,13,0.2765957446808511,0.23858537070662336,0.10735219610332897,0.14099045641263308,0.23858537070662356,165.48159728466985,147.71678440147386,0.14510368663594472,0.43903362897265336,1000,0.06282138949790479,0.593310349066516,1000,0.03371934489395957,0.1841420438478704,1000,0.08060196565565363,0.2132496175623902,1000
idm,log_deviation,all,transported,34,0,1440,105,69,36,0.34285714285714286,0.4026282138687,0.020537773172004985,0.03438021956981207,0.4026282138686978,2907.4043455444607,2847.692734576367,0.18960129310344828,0.5268028846153846,1000,0.11526292117306196,1.2361279602977921,1000,-0.0050663198236064275,0.04323954407534766,1000,0.017608524280365394,0.053515116790765434,1000
idm,safety,all,transported,34,0,1440,47,34,13,0.2765957446808511,0.22019031164245842,0.16824902396347063,0.21575651915513094,0.2201903116424583,1228.2223959270048,1021.5751766022108,0.14510368663594472,0.43903362897265336,1000,0.05255916423990119,0.5506819681812805,1000,0.06341881673700393,0.27901004001751734,1000,0.1288105734517465,0.3282393258946557,1000
idm,scalar_J,all,transported,34,0,1440,105,70,35,0.3333333333333333,0.2259596024320215,0.1399760258479871,0.18083814008647284,0.22595960243202218,1518.9628304814507,1306.3444500598475,0.18541426720414628,0.5148922859318898,1000,0.05937912547930808,0.5514151179829649,1000,0.05020026948931241,0.22775457836616683,1000,0.1042153779971651,0.2635752939388624,1000
idm,collision,test,transported,9,0,384,8,8,0,0.0,0.0,0.2222222222222222,0.2222222222222222,0.0,36.0,28.0,0.0,0.0,1000,0.0,0.0,993,0.13112972202423379,0.3333333333333333,1000,0.13112972202423379,0.3333333333333333,1000
idm,clearance_shortfall,test,transported,9,0,384,14,13,1,0.07142857142857142,0.0068692271888697014,0.18848243187219516,0.18978611581904933,0.006869227188869651,48.191823332499524,39.10851127443482,0.0,0.2727272727272727,1000,0.0,0.037224944065661354,997,0.1053850402120268,0.2529290541177885,1000,0.10799496618867685,0.2544447451441042,1000
idm,log_deviation,test,transported,9,0,384,28,21,7,0.25,0.1405719418072943,0.044493075512250096,0.05177056425853109,0.14057194180729374,677.7963769444883,647.6391315631677,0.09090909090909091,0.3157894736842105,1000,0.10337964129807796,0.24493166723570325,997,0.009704941383832995,0.0778404811059537,1000,0.012696778177027718,0.08859751950567096,1000
