track,geometry,system,target,section,objective,signal,tier,n_units,n_frames,n_affected,available,quota,k,coverage,gain,prize,eta,ndg_defined,undefined_reason,pool,n_methods,kendall_tau,kendall_p,argmax_dec,argmax_perc,argmax_differs,eta_dec_of_dec,eta_dec_of_perc,regret_ndg,perc_winner_worse_than_random,cheap_loss_total,e_dec_defined,n_affected_dec,regret_gain,regret_gain_lo,regret_gain_hi,regret_share_cheap,regret_share_lo,regret_share_hi,n_draws,n_draws_kept_under_official_filter,eta_official,abs_diff,matches_to_3dp
nuScenes,oracle,brake,J,score,E_perc_dE,gate_gbm,2.0,24.0,955.0,392.0,True,0.2,191.0,1.0,111.0,516.0,0.21511627906976744,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_perc_dE,gate_gbm,2.0,24.0,955.0,392.0,True,0.3,286.0,1.0,164.0,611.0,0.2684124386252046,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_perc_dE,gate_gbm,2.0,24.0,955.0,392.0,True,0.5,478.0,1.0,257.0,691.0,0.3719247467438495,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_perc_dE,R1_mlp_reg,2.0,24.0,955.0,392.0,True,0.1,96.0,1.0,132.0,334.0,0.39520958083832336,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_perc_dE,R1_mlp_reg,2.0,24.0,955.0,392.0,True,0.2,191.0,1.0,210.0,516.0,0.4069767441860465,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_perc_dE,R1_mlp_reg,2.0,24.0,955.0,392.0,True,0.3,286.0,1.0,288.0,611.0,0.4713584288052373,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_perc_dE,R1_mlp_reg,2.0,24.0,955.0,392.0,True,0.5,478.0,1.0,375.0,691.0,0.5426917510853835,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_perc_dE,R1_mlp_clf,2.0,24.0,955.0,392.0,True,0.1,96.0,1.0,72.0,334.0,0.2155688622754491,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_perc_dE,R1_mlp_clf,2.0,24.0,955.0,392.0,True,0.2,191.0,1.0,104.94444444444444,516.0,0.20338070628768304,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_perc_dE,R1_mlp_clf,2.0,24.0,955.0,392.0,True,0.3,286.0,1.0,123.41666666666666,611.0,0.2019912711402073,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_perc_dE,R1_mlp_clf,2.0,24.0,955.0,392.0,True,0.5,478.0,1.0,209.0,691.0,0.3024602026049204,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_perc_dE,R1_gbm_reg,2.0,24.0,955.0,392.0,True,0.1,96.0,1.0,108.0,334.0,0.32335329341317365,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_perc_dE,R1_gbm_reg,2.0,24.0,955.0,392.0,True,0.2,191.0,1.0,165.0,516.0,0.31976744186046513,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_perc_dE,R1_gbm_reg,2.0,24.0,955.0,392.0,True,0.3,286.0,1.0,227.0,611.0,0.37152209492635024,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_perc_dE,R1_gbm_reg,2.0,24.0,955.0,392.0,True,0.5,478.0,1.0,304.57241379310346,691.0,0.4407704975298169,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_perc_dE,R1_gbm_clf,2.0,24.0,955.0,392.0,True,0.1,96.0,1.0,101.0,334.0,0.3023952095808383,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_perc_dE,R1_gbm_clf,2.0,24.0,955.0,392.0,True,0.2,191.0,1.0,158.0,516.0,0.3062015503875969,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_perc_dE,R1_gbm_clf,2.0,24.0,955.0,392.0,True,0.3,286.0,1.0,249.0,611.0,0.4075286415711948,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_perc_dE,R1_gbm_clf,2.0,24.0,955.0,392.0,True,0.5,478.0,1.0,380.47222222222223,691.0,0.5506110307123332,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_perc_dE,R2_cnn_clf,2.0,24.0,955.0,392.0,True,0.1,96.0,1.0,66.0,334.0,0.19760479041916168,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_perc_dE,R2_cnn_clf,2.0,24.0,955.0,392.0,True,0.2,191.0,1.0,129.0,516.0,0.25,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_perc_dE,R2_cnn_clf,2.0,24.0,955.0,392.0,True,0.3,286.0,1.0,196.0,611.0,0.32078559738134205,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_perc_dE,R2_cnn_clf,2.0,24.0,955.0,392.0,True,0.5,478.0,1.0,315.0,691.0,0.4558610709117221,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_perc_dE,dE_exact,3.0,24.0,955.0,392.0,True,0.1,96.0,1.0,334.0,334.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_perc_dE,dE_exact,3.0,24.0,955.0,392.0,True,0.2,191.0,1.0,516.0,516.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_perc_dE,dE_exact,3.0,24.0,955.0,392.0,True,0.3,286.0,1.0,611.0,611.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,
